City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
dongsheng,80,CN,1554514520,74,29.72,112.52,73.61,14.58
belyy yar,0,RU,1554512400,50,53.6,91.39,33.8,6.71
villa alemana,0,CL,1554514492,87,-33.04,-71.37,71.6,4.7
windhoek,12,NA,1554512400,34,-22.57,17.08,66.0,10.29
vung tau,8,VN,1554514521,86,10.35,107.08,85.49,14.92
tura,12,IN,1554514519,87,25.52,90.21,72.98,3.96
acapulco,75,MX,1554511500,83,16.86,-99.88,80.6,10.29
aasiaat,0,GL,1554514521,80,68.71,-52.87,29.06,26.78
bodden town,20,KY,1554512404,83,19.28,-81.25,80.6,5.82
sargatskoye,0,RU,1554514522,86,55.6,73.49,31.58,5.53
cap malheureux,75,MU,1554514441,83,-19.98,57.61,78.8,12.75
dokka,88,NO,1554514431,90,60.83,10.07,32.0,2.39
chateauroux,92,FR,1554514512,93,43.72,0.65,48.2,6.93
njombe,92,TZ,1554514523,97,-9.34,34.77,64.7,2.84
gayeri,12,BF,1554514523,50,12.65,0.49,82.43,10.45
mill valley,90,US,1554514520,82,37.91,-122.55,61.0,9.17
sola,75,NO,1554514502,57,58.89,5.65,51.8,5.82
lata,56,IN,1554514524,100,30.78,78.62,48.32,1.83
magadan,0,RU,1554514524,82,59.56,150.8,36.35,20.29
chimoio,92,MZ,1554514524,96,-19.11,33.48,69.65,1.72
kushima,0,JP,1554512400,52,31.5,131.29,66.2,4.7
alugan,92,PH,1554514525,91,12.22,125.48,81.53,10.67
san andres,20,PH,1554514525,98,13.32,122.68,82.79,7.54
leningradskiy,0,RU,1554514525,90,69.38,178.42,7.82,28.79
san jose,12,PH,1554514527,66,15.79,120.99,84.5,3.18
lazaro cardenas,75,MX,1554511320,15,28.39,-105.62,78.8,18.34
hun,20,BE,1554514490,81,50.34,4.87,46.99,4.7
cururupu,92,BR,1554514527,100,-1.82,-44.87,72.89,3.18
batagay-alyta,64,RU,1554514528,81,67.8,130.41,25.82,2.95
fort morgan,32,US,1554514206,27,40.25,-103.8,64.4,5.82
ceres,88,AR,1554514528,64,-29.88,-61.95,59.39,3.4
victor harbor,40,AU,1554514513,55,-35.55,138.62,68.0,11.41
barcelos,40,PT,1554514408,93,41.53,-8.62,48.2,11.41
waipawa,92,NZ,1554513977,72,-39.94,176.59,54.0,6.42
tromso,0,NO,1554511800,78,69.65,18.96,12.2,3.36
corinto,64,BR,1554514529,78,-18.36,-44.46,74.42,2.73
kargasok,0,RU,1554514529,66,59.06,80.87,35.9,5.64
marystown,0,CA,1554514250,100,47.17,-55.16,28.0,22.97
aniva,75,RU,1554512400,69,46.71,142.53,37.4,4.47
tacloban,44,PH,1554514530,96,11.24,125.01,82.25,5.86
kartaly,64,RU,1554514530,89,53.05,60.64,35.72,1.72
russell,0,AR,1554512400,42,-33.01,-68.8,62.6,3.4
geraldton,90,CA,1554513240,92,49.72,-86.95,35.6,2.24
great bend,1,US,1554514333,52,38.36,-98.78,69.8,23.04
cotonou,20,BJ,1554512400,83,6.37,2.43,84.2,13.87
ferrol,92,ES,1554514505,93,43.48,-8.23,46.0,6.93
samut prakan,20,TH,1554514367,79,13.6,100.6,90.0,8.05
albanel,90,CA,1554512400,37,48.88,-72.44,33.8,5.82
lobito,24,AO,1554514439,90,-12.35,13.55,71.0,2.95
ferme-neuve,92,CA,1554514532,92,46.7,-75.45,30.77,5.19
antsohihy,8,MG,1554514532,89,-14.88,47.99,73.16,8.55
shimoda,20,JP,1554514512,63,34.7,138.93,73.99,13.87
pareora,0,NZ,1554514030,46,-44.49,171.21,55.99,5.99
botwood,20,CA,1554514336,62,49.14,-55.34,24.01,16.11
arua,76,UG,1554514533,93,3.02,30.91,66.59,2.51
pimentel,68,BR,1554514534,95,-3.7,-45.5,74.51,2.95
den helder,90,NL,1554514501,93,52.96,4.76,46.99,9.17
tumpat,75,MY,1554512400,74,6.2,102.17,82.4,4.7
penzance,88,GB,1554514388,93,50.12,-5.53,52.0,8.05
sinnamary,92,GF,1554514535,93,5.38,-52.96,80.63,13.02
zwettl,80,AT,1554514505,91,48.6,15.17,48.99,1.99
conceicao do almeida,24,BR,1554514535,87,-12.78,-39.17,77.48,3.74
flinders,40,AU,1554514514,57,-34.58,150.85,81.0,8.05
stokmarknes,0,NO,1554514295,65,68.56,14.91,28.99,3.0
bonfim,75,BR,1554512400,69,-20.33,-44.24,77.0,3.36
kommunar,0,RU,1554514277,68,59.62,30.39,36.0,2.95
znamenka,88,RU,1554514536,93,52.41,41.44,32.39,3.18
igarka,64,RU,1554514536,93,67.47,86.57,22.22,19.28
illela,8,NG,1554514537,68,12.25,4.3,73.7,2.95
caravelas,0,BR,1554514537,97,-17.73,-39.27,82.43,14.47
abu kamal,0,SY,1554514537,95,34.45,40.92,46.97,8.21
myitkyina,0,MM,1554514537,81,25.38,97.4,71.36,3.18
roald,64,NO,1554514333,100,62.58,6.12,41.0,4.7
mandali,92,IQ,1554514538,93,33.75,45.55,60.2,10.78
xiaoweizhai,80,CN,1554514538,83,26.23,107.51,62.18,3.51
port hueneme,90,US,1554514535,63,34.15,-119.2,63.0,13.87
chimbote,12,PE,1554514538,96,-9.08,-78.59,66.41,5.75
mae ramat,0,TH,1554512400,73,16.98,98.52,77.0,2.39
karratha,0,AU,1554514404,10,-20.74,116.85,99.8,13.13
nyurba,0,RU,1554514539,70,63.29,118.35,36.53,4.41
velingara,0,SN,1554508800,44,13.64,-16.01,78.8,11.41
riyadh,75,SA,1554512400,53,24.63,46.72,71.6,2.24
gushikawa,1,JP,1554512400,73,26.35,127.87,77.0,1.83
conceicao do araguaia,92,BR,1554514540,94,-8.26,-49.26,74.78,2.95
kiunga,0,PG,1554514540,70,-6.12,141.3,88.19,2.95
topeka,1,US,1554514337,67,39.05,-95.68,63.0,10.29
sobolevo,0,RU,1554514540,70,54.43,31.9,23.66,2.84
muzhi,24,RU,1554514541,77,65.4,64.7,23.12,13.47
nadaun,0,IN,1554514541,77,31.78,76.34,69.74,3.62
kloulklubed,90,PW,1554511800,94,7.04,134.26,78.8,6.93
xining,0,CN,1554514541,23,36.62,101.77,51.92,3.74
iqaluit,90,CA,1554513180,92,63.75,-68.52,21.2,2.24
beringovskiy,12,RU,1554514542,91,63.05,179.32,26.0,4.63
ucluelet,75,CA,1554514290,81,48.94,-125.55,51.01,4.7
ankara,0,TR,1554514508,71,39.92,32.85,46.0,2.24
zhigansk,44,RU,1554514542,70,66.77,123.37,32.57,5.19
birjand,0,IR,1554512400,50,32.86,59.22,57.2,6.93
kawalu,44,ID,1554514543,82,-7.38,108.21,77.03,2.95
bantou,64,CN,1554514543,80,26.22,117.49,68.03,2.62
buluang,75,PH,1554512400,88,10.47,123.98,80.6,4.7
marsabit,0,KE,1554514544,79,2.34,37.99,72.89,6.42
doha,0,QA,1554512400,57,25.29,51.53,78.8,9.17
tondano,20,ID,1554512400,70,1.3,124.91,84.2,2.24
iracoubo,76,GF,1554514544,75,5.48,-53.21,78.38,6.2
north battleford,1,CA,1554514418,52,52.78,-108.3,41.0,12.75
gayny,0,RU,1554514545,85,60.3,54.33,22.85,6.87
kedrovyy,0,RU,1554512400,58,56.17,91.82,26.6,3.62
palimbang,75,PH,1554514415,70,14.9,120.78,89.01,4.7
saurimo,24,AO,1554514545,98,-9.66,20.4,66.5,2.62
bacolod,76,PH,1554514545,75,10.68,122.95,83.24,7.54
acheng,0,CN,1554512400,45,45.55,126.95,42.8,8.95
pinega,0,RU,1554514546,89,64.7,43.39,18.71,2.39
mayo,75,CA,1554512400,48,63.59,-135.9,32.0,11.41
qinzhou,92,CN,1554514546,99,21.96,108.62,73.25,4.29
chitose,75,JP,1554514218,64,42.79,141.51,43.0,4.7
san patricio,92,PY,1554514547,84,-26.98,-56.83,64.61,6.64
cayenne,90,GF,1554512400,94,4.94,-52.33,75.2,2.24
omboue,24,GA,1554514547,100,-1.57,9.26,81.44,3.62
boguchany,0,RU,1554514548,54,58.38,97.46,33.38,3.51
khash,0,IR,1554514306,46,28.22,61.21,55.79,2.73
akdepe,0,TM,1554512400,75,42.05,59.39,46.4,9.17
moche,0,PE,1554512400,83,-8.17,-79.01,69.8,6.93
kiknur,80,RU,1554514548,97,57.3,47.21,30.05,3.85
praia,75,BR,1554512400,69,-20.25,-43.81,77.0,3.36
saint-augustin,92,FR,1554514406,93,44.83,-0.61,50.0,8.05
sao luis,88,BR,1554514549,60,4.43,-61.14,77.03,2.95
fare,92,PF,1554514549,99,-16.7,-151.02,84.23,14.25
juegang,0,CN,1554514384,56,32.31,121.18,77.0,8.88
hovd,0,NO,1554514264,69,63.83,10.7,37.4,17.22
camapua,24,BR,1554514550,89,-19.53,-54.04,72.17,3.29
fukue,40,JP,1554514445,51,35.03,136.69,66.99,17.22
pedernales,44,EC,1554514550,96,0.07,-80.05,72.08,4.63
sault sainte marie,90,CA,1554512400,93,46.49,-84.36,35.6,4.7
antofagasta,0,CL,1554512400,82,-23.65,-70.4,64.4,2.24
capissayan,36,PH,1554514551,85,18.05,121.82,82.25,3.62
marzuq,8,YE,1554514551,87,14.4,46.47,53.54,2.39
ambon,92,FR,1554514528,100,47.55,-2.56,42.8,6.93
kaputa,44,ZM,1554514446,95,-8.47,29.66,63.53,2.17
banda aceh,0,ID,1554514552,74,5.56,95.32,85.76,2.73
oeiras,80,BR,1554514552,96,-7.01,-42.13,70.82,2.39
bandarbeyla,0,SO,1554514552,100,9.49,50.81,78.38,2.39
guerrero negro,92,MX,1554514553,93,27.97,-114.04,61.1,8.66
ahipara,64,NZ,1554514421,78,-35.17,173.16,67.13,9.55
sao jose da coroa grande,100,BR,1554514553,86,-8.9,-35.15,79.46,4.74
bikin,88,RU,1554514553,62,46.82,134.25,39.23,3.4
hornepayne,36,CA,1554514553,90,49.22,-84.78,31.67,6.08
mecca,0,SA,1554514477,84,21.43,39.83,57.86,2.73
mpika,64,ZM,1554514554,95,-11.84,31.4,62.09,4.85
ortakoy,0,TR,1554514554,77,38.74,34.04,31.85,2.73
yarmouth,12,GB,1554514389,75,50.71,-1.5,48.0,13.87
tuy hoa,8,VN,1554514554,71,13.08,109.3,84.32,6.2
san policarpo,92,PH,1554514555,91,12.18,125.51,81.53,10.67
antalaha,68,MG,1554514555,95,-14.9,50.28,77.12,6.76
